Timer,Station,Code Station,Coord,commune,groupe24,groupe44,groupe64,groupe99
2022-11-15 20:02:48,André Karman - République,33006,"[48.91039875761846, 2.3851355910301213]",Aubervilliers,134,421,933,2137
2022-11-15 20:02:48,Bois de Vincennes - Gare,41301,"[48.836022242886884, 2.4708339950830287]",Nogent-sur-Marne,355,1224,2548,6120
2022-11-15 20:02:48,Jouffroy d'Abbans - Wagram,17026,"[48.881973298351625, 2.301132157444954]",Paris,200,720,1495,3600
2022-11-15 20:02:48,Croulebarde - Corvisart,13101,"[48.830981659316855, 2.3481646925210953]",Paris,371,1253,2655,6285
2022-11-15 20:02:48,Le Brix et Mesmin - Jourdan,14108,"[48.82234096593411, 2.327861653302471]",Paris,394,1339,2843,6775
2022-11-15 20:02:48,Romainville - Vaillant-Couturier,31024,"[48.86785, 2.446748]",Montreuil,258,869,1840,4430
2022-11-15 20:02:48,Ramponeau - Belleville,20143,"[48.871031137596, 2.379056852114]",Paris,253,817,1764,4214
2022-11-15 20:02:48,Lagny - Victor Basch,43002,"[48.84884147189881, 2.426325418925233]",Vincennes,328,1086,2284,5415
2022-11-15 20:02:48,Rond-point du Dr Albert Schweitzer,22207,"[48.78980918988166, 2.3143940046429634]",Bagneux,489,1689,3545,8454
2022-11-15 20:02:48,Théâtre des Amandiers - Palais des sports,92002,"[48.89264852683893, 2.2136941552162175]",Nanterre,171,577,1288,3081
2022-11-15 20:02:48,De Toqueville - Terrasse,17048,"[48.882428, 2.314002]",Paris,201,721,1497,3603
2022-11-15 20:02:48,Artois - Berri,8103,"[48.87393521240818, 2.3064258322119713]",Paris,225,808,1688,4096
2022-11-15 20:02:48,Las Cases - Bourgogne,7011,"[48.85909110474066, 2.3185685276985173]",Paris,273,942,2010,4792
2022-11-15 20:02:48,Félix Ziem - Armand Gauthier,18111,"[48.88949630486821, 2.333393658804396]",Paris,178,635,1372,3212
2022-11-15 20:02:48,Youri Gagarine - Karl Marx,48003,"[48.78448485079149, 2.35908430069685]",Villejuif,516,1738,3681,8763
2022-11-15 20:02:48,Ney - Porte de Clignancourt,18134,"[48.8978867, 2.3458001]",Paris,155,549,1182,2819
2022-11-15 20:02:48,Faubourg Montmartre - La Fayette,9014,"[48.87525454905335, 2.340853661298752]",Paris,227,768,1694,4006
2022-11-15 20:02:48,Place Jean-Spire-Lemaître,43009,"[48.8468428626593, 2.452062070369721]",Vincennes,330,1089,2289,5521
2022-11-15 20:02:48,Place Georges Guillaumin,8053,"[48.874750203956566, 2.301771435325988]",Paris,224,808,1687,3996
2022-11-15 20:02:48,Bellefond - Poissonnière,9001,"[48.87759897050706, 2.348463758826256]",Paris,227,769,1631,3909
2022-11-15 20:02:48,Square Louis XVI,8016,"[48.87320440102894, 2.323658830743138]",Paris,250,810,1691,4101
2022-11-15 20:02:48,Alexandre Parodi - Quai de Valmy,10162,"[48.87935941942529, 2.366596162319184]",Paris,228,727,1570,3815
2022-11-15 20:02:48,Granges aux Belles,10115,"[48.8761373390584, 2.3680844979417]",Paris,229,771,1634,3914
2022-11-15 20:02:48,Dunkerque - Rocroy,10029,"[48.880726, 2.351464]",Paris,227,725,1567,3712
2022-11-15 20:02:48,Gay Lussac - Saint-Jacques,5005,"[48.844730256132095, 2.341923944866407]",Paris,323,1120,2334,5590
2022-11-15 20:02:48,Gare de l'Est - Faubourg-Saint-Martin,10161,"[48.875642647477, 2.3594588041306]",Paris,228,770,1633,4011
2022-11-15 20:02:48,Gare de Nogent-le-Perreux,41303,"[48.83842553348809, 2.493693307042122]",Nogent-sur-Marne,357,1182,2488,5928
2022-11-15 20:02:48,Ségur - d'Estrées,7018,"[48.85141997898257, 2.3097044974565506]",Paris,297,1029,2200,5186
2022-11-15 20:02:48,Abbeville - Faubourg Poissonnière,9002,"[48.879223, 2.349147]",Paris,227,769,1567,3810
2022-11-15 20:02:48,Boulangers - Cardinal Lemoine,5022,"[48.8462904, 2.3521495]",Paris,324,1078,2336,5494
2022-11-15 20:02:48,Boudreau - Auber,9106,"[48.87219, 2.329423]",Paris,250,811,1756,4201
2022-11-15 20:02:48,Pereire - Ternes,17040,"[48.87973954830735, 2.288012132048607]",Paris,223,718,1557,3794
2022-11-15 20:02:48,Douai - Bruxelles,9038,"[48.88320784122797, 2.3308449949028507]",Paris,202,723,1500,3607
